Datalake_Rows;Fecha
13322115;16/12/2022
13322792;17/12/2022
13322808;18/12/2022
13322808;19/12/2022
13324174;20/12/2022
13325116;21/12/2022
13273022;22/12/2022
13272290;23/12/2022
13272604;24/12/2022
13272605;25/12/2022
13272605;26/12/2022
13273485;27/12/2022
13274217;28/12/2022
13275024;29/12/2022
13275999;30/12/2022
13276415;31/12/2022
13594390;1/1/2023
13594261;2/1/2023
13598291;3/1/2023
13602610;4/1/2023
13607796;5/1/2023
13608606;6/1/2023
13613842;7/1/2023
13613852;8/1/2023
13613848;9/1/2023
13614885;10/1/2023
13617148;11/1/2023
13618254;12/1/2023
13619247;13/1/2023
13622138;14/1/2023
13622146;15/1/2023
13622148;16/1/2023
13622835;17/1/2023
13622978;18/1/2023
13623184;19/1/2023
13623407;20/1/2023
13623595;21/1/2023
13623609;22/1/2023
13623609;23/1/2023
13629448;24/1/2023
13630300;25/1/2023
13630886;26/1/2023
13631829;27/1/2023
13632423;28/1/2023
13632435;29/1/2023
13632435;30/1/2023
13632821;31/1/2023
14585003;1/2/2023
14589566;2/2/2023
14591717;3/2/2023
14594648;4/2/2023
14594671;5/2/2023
14594670;6/2/2023
14597252;7/2/2023
14601716;8/2/2023
14589541;9/2/2023
14593121;13/2/2023
14593798;14/2/2023
14595725;15/2/2023
14599159;16/2/2023
14599612;17/2/2023
14601127;18/2/2023
14601125;19/2/2023
14601108;20/2/2023
14601102;21/2/2023
14601120;22/2/2023
14601189;23/2/2023
14602464;24/2/2023
14603888;25/2/2023
14603908;26/2/2023
14603909;27/2/2023
14604424;28/2/2023
14930438;1/3/2023
14932837;2/3/2023
14757077;3/3/2023
14765560;4/3/2023
14765584;5/3/2023
14765592;6/3/2023
14765846;7/3/2023
14765998;8/3/2023
14779091;9/3/2023
14780233;10/3/2023
14781660;11/3/2023
14781676;12/3/2023
14781644;13/3/2023
14782341;14/3/2023
14784010;15/3/2023
14785699;16/3/2023
14786839;17/3/2023
14787882;18/3/2023
14787906;19/3/2023
14787906;20/3/2023
14790413;21/3/2023
14766791;22/3/2023
14793259;23/3/2023
14794407;24/3/2023
14794494;25/3/2023
14797115;31/3/2023
15128352;1/4/2023
15128038;2/4/2023
15128080;3/4/2023
15132230;4/4/2023
15132397;5/4/2023
15133779;6/4/2023
15132396;7/4/2023
15144635;8/4/2023
15144499;9/4/2023
15144658;10/4/2023
15145770;11/4/2023
15148380;12/4/2023
15152084;13/4/2023
15152908;14/4/2023
15154309;15/4/2023
15154329;16/4/2023
15121472;17/4/2023
15156085;18/4/2023
15157210;19/4/2023
15159076;20/4/2023
15160355;21/4/2023
15161468;22/4/2023
15161536;23/4/2023
15161543;24/4/2023
15135156;25/4/2023
15162796;26/4/2023
15163637;27/4/2023
15163942;28/4/2023
15164342;29/4/2023
15164404;30/4/2023
15495516;1/5/2023
15496570;2/5/2023
15439663;3/5/2023
15479509;4/5/2023
15481653;5/5/2023
15485677;6/5/2023
15485652;7/5/2023
15485651;8/5/2023
15486520;9/5/2023
15488343;10/5/2023
15473015;11/5/2023
15490912;12/5/2023
15494426;13/5/2023
15494443;14/5/2023
15494443;15/5/2023
15496139;16/5/2023
